URL,Name,Address,Capital,Sales,Market,President
https://baseconnect.in/companies/f308b6b9-c4ce-4354-803c-6d21a6435628,株式会社プレシャスパートナーズ,〒160-0023東京都新宿区西新宿２丁目６番１号,3000万円,10億〜50億円,未上場,情報あり
https://baseconnect.in/companies/fcda2fca-534f-40fb-a616-cf4bc8427e57,テックタッチ株式会社,〒104-0061東京都中央区銀座８丁目１７番１号ＰＭＯ銀座Ⅱ５階,24億円,,未上場,情報あり
https://baseconnect.in/companies/99b57c01-6173-445d-a0ee-6e2814a908ee,株式会社ユーテック,〒102-0076東京都千代田区五番町１４番地１,2億円,,未上場,情報あり
https://baseconnect.in/companies/82da4cfd-22ed-4171-888f-f28e96af2d77,株式会社プロシード,〒247-0056神奈川県鎌倉市大船３丁目２－１５プロシードＥａｓｔⅡ,1500万円,,未上場,情報あり
https://baseconnect.in/companies/77343482-b362-4208-9d65-3bfd38f83e98,フクダコーリン株式会社,〒113-0033東京都文京区本郷２丁目３５番２７号,3億円,,未上場,情報あり
https://baseconnect.in/companies/e3c68a5f-eec4-4d47-81cf-566743747c94,株式会社Ｆｒｅｅｗｉｌｌ,〒107-0061東京都港区北青山１丁目４－５ＶＯＲＴ青山一丁目Ｄｕａｌ‘ｓ３０１号室,1000万円,,未上場,情報あり
https://baseconnect.in/companies/067b0777-4c90-455c-94ec-65e5a687c12e,株式会社樋口総合研究所,〒252-0303神奈川県相模原市南区相模大野３丁目１２番６号ＶＩＡビル７Ｆ,3000万円,3億〜10億円,未上場,情報あり
https://baseconnect.in/companies/30898e82-eac1-4824-8c59-dcddf961c025,株式会社さくらコーポレーション,〒590-0901大阪府堺市堺区築港八幡町１番地,2億円,10億〜50億円,未上場,情報あり
https://baseconnect.in/companies/cec2d517-0f53-499c-9bcf-d680aaa9c994,ギークス株式会社,〒150-0002東京都渋谷区渋谷２丁目２４番１２号,11億900万円,50億〜300億円,東証スタンダード,情報あり
https://baseconnect.in/companies/f74846f5-c582-4f6a-a310-3adecebc7c73,株式会社ティー・アイ・シー,〒343-0845埼玉県越谷市南越谷１丁目１６番１３号,1億円,10億〜50億円,未上場,情報あり
https://baseconnect.in/companies/9a73f2bb-efe4-4b58-b4c5-04f0e0f07e82,株式会社デジタル・ナレッジ,〒110-0005東京都台東区上野５丁目３番４号,4045万円,10億〜50億円,未上場,情報あり
https://baseconnect.in/companies/f29a9821-45e3-41a0-871a-8e6aacc512a2,水戸ソフトエンジニアリング株式会社,〒312-0062茨城県ひたちなか市高場４丁目１８番地３０,3000万円,10億〜50億円,未上場,情報あり
